             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE              SIDE        ,,,,,,,,,,,,,,,,,,,,
                M4634596 24878 11/10/2020   16:56:38  16:56:46      8   A5E41637164-04-TOP     GOOD           SV              KOHYOUNG T,,,,,,,,,,,,,,,,,,,,
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm)
1:X171_04,66.023,143.604,82.756,0.007,0.31,379687500,2643984,GOOD,3,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,62.847,141.59,79.896,0.02,0.064,361423600,2552605,GOOD,1,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,62.836,146.062,77.437,-0.449,-0.252,361361100,2474026,GOOD,21,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,62.037,148.367,75.264,-1.327,0.13,356764900,2404619,GOOD,19,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,64.249,145.326,79.578,-1.113,-0.343,369483600,2542453,GOOD,15,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,62.557,150.625,74.757,-0.83,0.039,359753000,2388410,GOOD,13,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,62.592,140.43,80.229,1.023,0.432,359953000,2563228,GOOD,9,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:X171_04,61.104,144.508,76.112,0.913,0.555,351400000,2431694,GOOD,5,,0.0um,,45,210,60,270,50,170,0.18,0.25
1:00,110.497,135.112,98.139,0.98,4.41,51182090,378814,GOOD,,,46.5um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,99.732,129.793,92.207,0.857,3.476,46195730,355920,GOOD,,,64.8um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,96.374,128.102,90.279,3.633,-2.396,28432610,221954,GOOD,,,40.3um,PART6,45,200,60,230,60,170,0.18,0.18
1:00,92.135,120.943,91.416,2.677,-3.741,27181980,224751,GOOD,,,44.3um,PART6,45,200,60,230,60,170,0.18,0.18
1:00,115.288,136.008,101.719,0.231,-6.149,53401340,392634,GOOD,,,56.8um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,110.505,135.649,97.757,0.371,-6.559,51185930,377342,GOOD,,,66.1um,PART0,45,200,60,230,60,170,0.18,0.18
1:V901_04,98.122,114.968,102.417,0.056,-0.142,489340100,4256328,GOOD,K,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:V901_04,93.483,109.926,102.05,2.042,-0.446,466206600,4241105,GOOD,A,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:H15_04,102.292,131.204,93.557,3.029,-0.938,62716900,478011,GOOD,A,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:H16_04,99.91,127.225,94.236,2.215,-1.907,61256200,481480,GOOD,A,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:00,109.164,130.894,100.079,-0.271,-4.959,50564760,386302,GOOD,,,47.4um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,108.9,136.351,95.841,-0.493,-5.518,50442220,369944,GOOD,,,42.0um,PART0,45,200,60,230,60,170,0.18,0.18
1:D81_04,86.095,105.768,97.679,0.618,0.606,39878880,377041,GOOD,16,,49.3um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,87.106,105.909,98.696,1.765,0.416,40347480,380964,GOOD,15,,55.2um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,82.365,104.059,94.983,-0.894,0.226,38151500,366634,GOOD,14,,65.2um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,89.765,107.271,100.417,1.838,0.036,41579110,387609,GOOD,13,,88.7um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,86.149,106.361,97.196,-0.551,-0.153,39904160,375177,GOOD,12,,56.7um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,86.387,110.174,94.092,1.297,1.138,40014240,363193,GOOD,11,,52.9um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,83.201,104.09,95.918,-2.633,0.95,38538550,370244,GOOD,10,,65.8um,,45,200,60,230,60,170,0.18,0.18
1:D81_04,84.372,101.75,99.505,0.605,0.76,39080790,384087,GOOD,9,,49.0um,,45,200,60,230,60,170,0.18,0.18
1:00,110.247,130.294,101.537,-0.342,1.143,51066330,391931,GOOD,,,49.0um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,109.494,138.162,95.101,-0.463,0.231,50717380,367087,GOOD,,,52.7um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,109.383,135.167,97.11,0.399,-5.508,50666170,374843,GOOD,,,48.6um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,117.945,146.093,96.88,0.742,-4.316,54632120,373956,GOOD,,,57.9um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,95.607,123.514,92.887,1.901,-2.26,28206360,228366,GOOD,,,41.1um,PART6,45,200,60,230,60,170,0.18,0.18
1:00,91.22,125.25,87.396,2.235,-3.6,26912070,214867,GOOD,,,51.6um,PART6,45,200,60,230,60,170,0.18,0.18
1:C640_04,86.279,110.582,93.627,-0.629,0.69,49665020,449124,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C640_04,97.538,121.744,96.141,-0.191,0.132,56146530,461184,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:R900_04,82.331,98.363,100.441,1.649,-0.257,381552900,3879028,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:R900_04,89.879,105.28,102.446,3.885,-0.132,416533800,3956459,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:00,106.882,132.933,96.483,0.487,-1.526,49507520,372424,GOOD,,,37.1um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,108.218,132.051,98.342,0.764,-2.361,50126520,379599,GOOD,,,52.2um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,90.06,124.296,86.948,-0.961,-1.231,51841650,417084,GOOD,,,0.0um,PART1,45,200,60,230,60,170,0.18,0.18
1:00,118.597,140.851,101.041,0.567,-5.564,54933960,390016,GOOD,,,55.6um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,118.72,144.428,98.64,1.211,-5.736,54991020,380750,GOOD,,,69.4um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,94.57,113.446,100.033,0.279,0.01,129823200,1144359,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18
1:00,88.032,107.596,98.18,1.409,-0.525,120848200,1123163,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18
1:00,95.262,115.91,98.623,0.213,-0.59,130773200,1128227,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18
1:00,99.554,116.675,102.391,1.432,0.085,136665200,1171335,GOOD,,,0.0um,PART4,45,200,60,230,60,170,0.18,0.18
1:00,94.175,125.208,90.258,2.171,-2.126,27783980,221903,GOOD,,,44.9um,PART6,45,200,60,230,60,170,0.18,0.18
1:00,101.036,130.449,92.943,4.223,-3.463,29808050,228504,GOOD,,,35.9um,PART6,45,200,60,230,60,170,0.18,0.18
1:00,99.16,128.058,92.92,0.545,-0.247,232845600,1818278,GOOD,,,0.0um,PART3,45,200,60,230,60,170,0.18,0.18
1:H15_04,101.023,125.743,96.409,2.945,-0.958,61938630,492580,GOOD,K,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:H16_04,97.427,124.637,93.802,3.231,-1.923,59733800,479262,GOOD,K,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:R634_04,102.6,114.361,107.659,0.218,-0.021,51566530,450911,GOOD,1,,50.8um,,45,200,60,230,60,170,0.18,0.18
1:R634_04,99.873,111.917,107.086,0.497,0.66,50196290,448513,GOOD,2,,41.6um,,45,200,60,230,60,170,0.18,0.18
1:C634_04,85.286,108.964,93.923,-0.143,-0.138,49093360,450546,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C634_04,88.048,114.676,92.136,-1.904,1.302,50683540,441974,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:C602_04,94.884,129.217,88.116,-1.195,-0.082,54618440,422688,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18
1:00,112.345,133.307,101.13,0.735,-5.081,52037970,390362,GOOD,,,59.3um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,114.346,143.982,95.3,0.889,-4.144,52964880,367858,GOOD,,,60.8um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,94.565,123.598,91.812,2.583,-1.987,27899070,225725,GOOD,,,39.6um,PART6,45,200,60,230,60,170,0.18,0.18
1:00,97.856,126.926,92.516,2.491,-3.318,28869910,227455,GOOD,,,51.4um,PART6,45,200,60,230,60,170,0.18,0.18
1:00,111.936,135.546,99.098,-0.084,-4.645,51848680,382518,GOOD,,,44.0um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,116.108,142.456,97.806,-0.421,-5.466,53781270,377530,GOOD,,,72.2um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,114.251,136.119,100.722,-0.41,-5.382,52920940,388786,GOOD,,,57.4um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,116.484,140.044,99.812,0.246,-4.305,53955060,385272,GOOD,,,73.6um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,92.96,132.039,84.485,-0.684,-0.016,53511080,405269,GOOD,,,0.0um,PART1,45,200,60,230,60,170,0.18,0.18
1:00,118.137,141.304,100.326,-0.242,-6.124,54720820,387257,GOOD,,,46.6um,PART0,45,200,60,230,60,170,0.18,0.18
1:00,117.544,143.881,98.034,0.418,-6.412,54446140,378412,GOOD,,,73.0um,PART0,45,200,60,230,60,170,0.18,0.18
1:R633_04,102.518,114.235,107.692,1.762,0.184,51525490,451049,GOOD,1,,41.4um,,45,200,60,230,60,170,0.18,0.18
1:R633_04,102.711,116.414,105.874,2.034,-0.138,51622260,443436,GOOD,2,,49.9um,,45,200,60,230,60,170,0.18,0.18
