             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE        
                MN635582 24566 11/10/2020   11:54:09  11:54:15      6   A5E41637164-04-BOT     FAIL           SV              KOHYOUNG
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm),
1:R202_04,86.639,103.306,100.639,-1.688,0.208,299110200,2895369,GOOD,2,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R202_04,88.368,103.713,102.245,-0.491,0.520,305077800,2941568,GOOD,1,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:,89.902,111.898,96.412,0.233,0.567,211192700,1887375,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
1:,80.582,103.258,93.648,0.449,0.032,189299800,1833271,GOOD,,,0.0um,PART7,45,190,60,230,60,170,0.18,0.18,
1:,84.070,120.298,83.862,0.809,1.392,48393860,402282,GOOD,,,0.0um,PART5,45,190,60,230,60,170,0.18,0.18,
1:V221_04,98.029,120.118,97.933,1.165,-0.933,98067470,816429,GOOD,B,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:V220_04,98.513,122.001,96.897,1.050,-0.317,98551460,807791,GOOD,A,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:V241_04,96.097,121.228,95.123,1.741,0.368,96134600,793006,GOOD,B,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:V240_04,104.108,125.729,99.364,1.707,-1.309,104148900,828360,GOOD,A,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:V240_04,96.534,116.189,99.700,1.564,-0.034,96571660,831160,GOOD,K,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:V241_04,92.017,114.223,96.671,1.659,-0.526,92053080,805907,GOOD,E,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:V221_04,92.109,114.631,96.423,1.004,0.354,92144980,803838,GOOD,E,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:V220_04,92.338,126.512,87.585,0.956,-1.205,92374660,730165,GOOD,K,,0.0um,,45,190,60,230,60,170,0.18,0.18,
1:R25_04,96.653,114.027,101.716,0.926,-0.198,48577580,426018,GOOD,1,,54.3um,,45,190,60,230,60,170,0.18,0.18,
1:R25_04,88.461,107.995,98.295,0.228,0.384,44460480,411691,GOOD,2,,63.3um,,45,190,60,230,60,170,0.18,0.18,
1:,79.422,107.426,88.719,1.491,-1.082,45718340,425582,GOOD,,,0.0um,PART5,45,190,60,230,60,170,0.18,0.18,
1:,85.220,116.509,87.773,-1.425,0.013,49055500,421044,GOOD,,,0.0um,PART5,45,190,60,230,60,170,0.18,0.18,
