             BARCODE  INDEX     DATE     S.TIME    E.TIME   CYCLE             JOB        RESULT       USER          LOTINFO        MACHINE        
                MN634850 24857 11/10/2020   16:43:32  16:43:40      8   A5E41637164-04-TOP     FAIL           SV              KOHYOUNG
Component ID,Volume(%),Height(um),Area(%),OffsetX(%),OffsetY(%),Volume(um3),Area(um2),Result,PinNumber,Pad Verification,Shape,Library_Name,Vol_Min(%),Vol_Max(%),Height_Low(um),Height_High(um),Area_Min(%),Area_Max(%),OffsetX_Error(mm),OffsetY_Error(mm),
1:C299_04,84.604,119.791,84.751,0.029,-0.669,48700940,406548,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:R290_04,92.357,110.017,100.738,0.734,-0.065,46418420,421922,GOOD,2,,69.5um,,45,200,60,230,60,170,0.18,0.18,
1:R290_04,89.698,111.220,96.779,-0.978,-1.350,45082240,405342,GOOD,1,,79.8um,,45,200,60,230,60,170,0.18,0.18,
1:,106.096,136.339,93.382,0.497,-4.327,31300960,229583,GOOD,,,56.2um,PART6,45,200,60,230,60,170,0.18,0.18,
1:,105.375,136.318,92.761,2.241,-5.730,31088380,228058,GOOD,,,48.5um,PART6,45,200,60,230,60,170,0.18,0.18,
1:C638_04,84.892,114.342,89.092,0.436,2.445,48866550,427372,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C639_04,87.977,115.867,91.115,-0.610,0.950,50642360,437074,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:R1108_04,92.734,112.922,98.546,-2.876,-0.546,46607840,412742,GOOD,2,,42.4um,,45,200,60,230,60,170,0.18,0.18,
1:R1108_04,95.747,114.467,100.375,-3.295,-1.261,48122170,420402,GOOD,1,,44.4um,,45,200,60,230,60,170,0.18,0.18,
1:C202_04,76.414,122.736,74.710,1.174,-0.139,43986480,358383,GOOD,2,,0.0um,,45,200,60,230,60,170,0.18,0.18,
1:C202_04,82.877,125.172,79.453,-2.784,-1.551,47707070,381132,GOOD,1,,0.0um,,45,200,60,230,60,170,0.18,0.18,
